system,bt,prefix,rps,ttft_mean_ms,ttft_p99_ms,slo_2s,slo_5s,slo_10s,slo_20s
afd_dp3_tp8_ep8,16384,0.25,6.0,533.9370640399201,1481.2561280187217,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.5,6.0,440.11826287316427,1268.6390139907596,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.75,6.0,352.46644720648015,1033.9159533847119,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.9,6.0,307.3963026186185,930.4076717142015,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.95,6.0,238.42090405630213,890.6652918457984,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.99,6.0,164.3963745438627,791.5786954015492,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.0,8.0,1121.7697825336031,3100.2434086147696,88.69,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.25,8.0,796.5673775603728,2182.1781115885824,96.69,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.5,8.0,560.22099970494,1515.4798494465647,99.89,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.75,8.0,418.19914200529456,1176.0117365978658,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.9,8.0,346.0791382097772,974.7876377496867,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.95,8.0,253.06877403546656,929.4613205920904,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.99,8.0,148.50625398967946,753.0081090610473,99.43,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.0,10.0,2973.2094594575465,6196.330189798027,30.63,85.14,100.00,100.00
afd_dp3_tp8_ep8,32768,0.25,10.0,1117.0388183003026,2775.268245125189,88.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.5,10.0,684.7346022150347,2135.6895647011697,98.29,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.75,10.0,449.4689883706825,1196.2693057022989,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.9,10.0,397.6870034576527,986.2654090486466,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.95,10.0,295.7471389727933,950.5616089235991,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.99,10.0,213.41308493752564,845.1471531856805,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.0,12.0,8662.50731705555,17705.32895210199,5.94,25.26,59.31,100.00
afd_dp3_tp8_ep8,32768,0.25,12.0,3784.7900546076044,7110.14320794493,15.43,77.03,100.00,100.00
afd_dp3_tp8_ep8,32768,0.5,12.0,1123.4554604941181,3040.85667095147,90.51,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.75,12.0,591.4662482759783,1636.7125916481016,99.89,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.9,12.0,470.6602039379733,1200.9090816881508,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.95,12.0,375.83538661418214,1097.801669165492,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.99,12.0,204.86545112729073,790.119976438582,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.0,4.0,459.49899712896774,1370.260090837255,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.25,4.0,388.8732480502554,1116.1331766936926,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.5,4.0,338.4847554181303,941.5946359001099,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.75,4.0,281.8510469570756,843.5704421065748,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.9,4.0,259.9384205037994,847.7769433055073,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.95,4.0,252.85770396089978,851.6081196069717,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.99,4.0,245.90650429310543,847.7842619083822,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.0,6.0,549.8774265253118,1632.439843229949,99.66,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.25,6.0,477.5323986432382,1278.727039610967,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.5,6.0,405.6989803654807,1121.6051230579612,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.75,6.0,323.4696591938181,893.0291842296718,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.9,6.0,299.94765874956335,865.650590043515,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.95,6.0,262.2741159924439,843.9898441731929,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.99,6.0,141.90028301573224,708.7803436350077,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.0,8.0,1072.8719685019128,4458.755995193496,88.11,99.31,100.00,100.00
afd_dp3_tp8_ep8,32768,0.25,8.0,657.629943699709,1825.8015525154767,99.54,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.5,8.0,504.3580200081425,1353.0041790101673,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.75,8.0,379.9391657667501,1045.5573288351297,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.9,8.0,338.2543060651847,922.7378417830914,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.95,8.0,316.9688354427261,956.9359107129275,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,32768,0.99,8.0,165.60065533327204,751.5343241300433,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,49152,0.0,10.0,2656.9381219324255,5347.069672141224,33.14,97.71,100.00,100.00
afd_dp3_tp8_ep8,49152,0.25,10.0,1211.4796876939279,3603.413031678647,83.54,100.00,100.00,100.00
