system,load,request_id,planned_offset_s,actual_send_s,ttft_s,e2el_s,completed_s,input_length,success,error,prompt_tokens_match
afd_mbt65536,1x,formal-1-000094,36.001,36.003531,1.642146,1.642185,37.645716,6296,True,,True
afd_mbt65536,1x,formal-1-000095,36.001,36.002417,0.708628,0.708674,36.711091,1885,True,,True
afd_mbt65536,1x,formal-1-000096,39.001,39.002638,1.580112,1.580151,40.582789,12788,True,,True
afd_mbt65536,1x,formal-1-000097,39.001,39.002922,0.912028,0.912068,39.91499,900,True,,True
afd_mbt65536,1x,formal-1-000098,39.001,39.003549,1.420625,1.420663,40.424212,896,True,,True
afd_mbt65536,1x,formal-1-000099,39.001,39.002801,1.045367,1.045407,40.048208,4757,True,,True
afd_mbt65536,1x,formal-1-000100,39.001,39.003853,1.416439,1.416478,40.420331,903,True,,True
afd_mbt65536,1x,formal-1-000101,39.001,39.002088,0.910436,0.910495,39.912583,2040,True,,True
afd_mbt65536,1x,formal-1-000102,39.001,39.002427,0.996148,0.996202,39.998628,3230,True,,True
afd_mbt65536,1x,formal-1-000103,39.001,39.003214,0.931849,0.931899,39.935113,1205,True,,True
afd_mbt65536,1x,formal-1-000104,42.001,42.002409,1.750308,1.75034,43.752749,13873,True,,True
afd_mbt65536,1x,formal-1-000105,42.001,42.00359,2.24153,2.241585,44.245174,898,True,,True
afd_mbt65536,1x,formal-1-000106,42.001,42.003467,2.309731,2.309772,44.313239,9716,True,,True
afd_mbt65536,1x,formal-1-000107,42.001,42.00372,1.589901,1.589934,43.593654,12432,True,,True
afd_mbt65536,1x,formal-1-000108,42.001,42.003853,3.825643,3.825692,45.829545,28928,True,,True
afd_mbt65536,1x,formal-1-000109,42.001,42.002644,0.781398,0.781448,42.784092,908,True,,True
afd_mbt65536,1x,formal-1-000110,42.001,42.00304,1.515558,1.515595,43.518634,9227,True,,True
afd_mbt65536,1x,formal-1-000111,42.001,42.002869,0.965001,0.965051,42.96792,4482,True,,True
afd_mbt65536,1x,formal-1-000112,42.001,42.004342,1.654756,1.654793,43.659135,13843,True,,True
afd_mbt65536,1x,formal-1-000113,42.001,42.004445,2.262703,2.262734,44.267179,1698,True,,True
afd_mbt65536,1x,formal-1-000114,42.001,42.004113,2.848201,2.848243,44.852356,8890,True,,True
afd_mbt65536,1x,formal-1-000115,45.0,45.002539,1.176729,1.17677,46.179309,6874,True,,True
afd_mbt65536,1x,formal-1-000116,45.0,45.002123,0.835811,0.835841,45.837964,900,True,,True
afd_mbt65536,1x,formal-1-000117,45.0,45.001088,0.867587,0.867638,45.868726,3234,True,,True
afd_mbt65536,1x,formal-1-000118,45.0,45.000596,1.966484,1.966522,46.967119,18586,True,,True
afd_mbt65536,1x,formal-1-000119,45.0,45.002291,0.839765,0.839802,45.842092,1421,True,,True
afd_mbt65536,1x,formal-1-000120,45.0,45.002628,1.266837,1.266884,46.269512,1962,True,,True
afd_mbt65536,1x,formal-1-000121,48.001,48.004617,2.022633,2.022681,50.027299,4381,True,,True
afd_mbt65536,1x,formal-1-000122,48.001,48.002284,1.130215,1.130269,49.132553,6628,True,,True
afd_mbt65536,1x,formal-1-000123,48.001,48.002986,1.268784,1.268839,49.271825,8344,True,,True
afd_mbt65536,1x,formal-1-000124,48.001,48.003163,0.961979,0.962012,48.965176,5264,True,,True
afd_mbt65536,1x,formal-1-000125,48.001,48.002747,2.295756,2.29581,50.298557,20977,True,,True
afd_mbt65536,1x,formal-1-000126,48.001,48.003488,2.115883,2.115923,50.119411,9082,True,,True
afd_mbt65536,1x,formal-1-000127,48.001,48.00477,1.935362,1.935417,49.940187,7797,True,,True
afd_mbt65536,1x,formal-1-000128,48.001,48.002512,0.83544,0.83549,48.838002,1101,True,,True
afd_mbt65536,1x,formal-1-000129,48.001,48.004142,3.181316,3.181372,51.185513,21005,True,,True
afd_mbt65536,1x,formal-1-000130,48.001,48.003289,0.836401,0.836437,48.839726,916,True,,True
afd_mbt65536,1x,formal-1-000131,48.001,48.00391,3.148979,3.149026,51.152936,23175,True,,True
afd_mbt65536,1x,formal-1-000132,51.0,51.004602,1.249226,1.249261,52.253863,5940,True,,True
afd_mbt65536,1x,formal-1-000133,51.0,51.002553,3.045255,3.045295,54.047848,13028,True,,True
afd_mbt65536,1x,formal-1-000134,51.0,51.001268,0.897987,0.898034,51.899302,2489,True,,True
afd_mbt65536,1x,formal-1-000135,51.0,51.00214,4.576465,4.576502,55.578643,23994,True,,True
afd_mbt65536,1x,formal-1-000136,51.0,51.004188,3.043823,3.043865,54.048052,899,True,,True
afd_mbt65536,1x,formal-1-000137,51.0,51.003276,2.771666,2.771714,53.77499,4398,True,,True
afd_mbt65536,1x,formal-1-000138,51.0,51.00112,1.045487,1.045526,52.046646,4775,True,,True
afd_mbt65536,1x,formal-1-000139,51.0,51.001417,1.887597,1.887664,52.889082,15993,True,,True
afd_mbt65536,1x,formal-1-000140,51.0,51.003696,1.092799,1.092835,52.096531,4421,True,,True
afd_mbt65536,1x,formal-1-000141,51.0,51.004736,1.694729,1.694773,52.699509,3025,True,,True
afd_mbt65536,1x,formal-1-000142,51.0,51.000797,1.873876,1.873919,52.874716,16879,True,,True
afd_mbt65536,1x,formal-1-000143,51.0,51.002416,2.77272,2.77277,53.775186,4766,True,,True
afd_mbt65536,1x,formal-1-000144,51.0,51.00282,3.045342,3.045367,54.048188,12332,True,,True
afd_mbt65536,1x,formal-1-000145,51.0,51.004014,4.574753,4.574817,55.57883,5241,True,,True
afd_mbt65536,1x,formal-1-000146,54.001,54.004596,3.070355,3.070381,57.074977,8828,True,,True
afd_mbt65536,1x,formal-1-000147,54.001,54.002256,1.047065,1.047106,55.049362,1883,True,,True
afd_mbt65536,1x,formal-1-000148,54.001,54.003249,1.096962,1.096989,55.100238,3520,True,,True
afd_mbt65536,1x,formal-1-000149,54.001,54.002097,1.067843,1.067882,55.069979,4020,True,,True
afd_mbt65536,1x,formal-1-000150,54.001,54.003796,3.070961,3.071016,57.074813,13818,True,,True
afd_mbt65536,1x,formal-1-000151,54.001,54.001742,7.287287,7.287346,61.289088,63778,True,,True
afd_mbt65536,1x,formal-1-000152,54.001,54.003569,3.928863,3.928897,57.932466,17473,True,,True
afd_mbt65536,1x,formal-1-000153,54.001,54.001521,2.126861,2.126908,56.12843,17838,True,,True
afd_mbt65536,1x,formal-1-000154,54.001,54.0034,3.296803,3.296839,57.300239,21751,True,,True
afd_mbt65536,1x,formal-1-000155,54.001,54.003057,2.115438,2.115471,56.118529,7630,True,,True
afd_mbt65536,1x,formal-1-000156,54.001,54.002828,1.093921,1.09396,55.096788,4764,True,,True
afd_mbt65536,1x,formal-1-000157,57.001,57.00345,7.292679,7.292712,64.296162,11067,True,,True
afd_mbt65536,1x,formal-1-000158,57.001,57.004073,2.705749,2.705777,59.70985,4151,True,,True
afd_mbt65536,1x,formal-1-000159,57.001,57.003583,1.718271,1.718326,58.721909,6851,True,,True
afd_mbt65536,1x,formal-1-000160,57.001,57.002858,1.319796,1.319833,58.322691,10336,True,,True
afd_mbt65536,1x,formal-1-000161,57.001,57.004324,1.717346,1.717402,58.721726,9607,True,,True
afd_mbt65536,1x,formal-1-000162,57.001,57.005898,2.703739,2.703787,59.709685,15163,True,,True
afd_mbt65536,1x,formal-1-000163,57.001,57.00241,2.078716,2.07876,59.08117,9124,True,,True
afd_mbt65536,1x,formal-1-000164,57.001,57.003237,0.76018,0.760227,57.763465,4277,True,,True
afd_mbt65536,1x,formal-1-000165,57.001,57.002635,3.691599,3.691653,60.694288,3755,True,,True
afd_mbt65536,1x,formal-1-000166,57.001,57.005504,3.688877,3.688922,60.694426,22215,True,,True
afd_mbt65536,1x,formal-1-000167,57.001,57.003117,2.70633,2.706374,59.709491,1766,True,,True
afd_mbt65536,1x,formal-1-000168,60.001,60.004032,5.39311,5.393144,65.397176,43167,True,,True
afd_mbt65536,1x,formal-1-000169,60.001,60.003911,0.92606,0.926121,60.930032,897,True,,True
afd_mbt65536,1x,formal-1-000170,60.001,60.00419,4.291485,4.291527,64.295718,20062,True,,True
afd_mbt65536,1x,formal-1-000171,60.001,60.002084,4.293865,4.293909,64.295993,4755,True,,True
afd_mbt65536,1x,formal-1-000172,60.001,60.002808,0.920921,0.920967,60.923776,1535,True,,True
afd_mbt65536,1x,formal-1-000173,60.001,60.003526,0.934379,0.93441,60.937936,898,True,,True
afd_mbt65536,1x,formal-1-000174,60.001,60.003389,2.96031,2.960347,62.963736,3125,True,,True
afd_mbt65536,1x,formal-1-000175,60.001,60.002972,2.816344,2.816402,62.819375,6286,True,,True
afd_mbt65536,1x,formal-1-000176,60.001,60.003239,2.960625,2.96068,62.963919,13100,True,,True
afd_mbt65536,1x,formal-1-000177,60.001,60.002609,1.013459,1.013512,61.016121,4404,True,,True
afd_mbt65536,1x,formal-1-000178,60.001,60.002294,5.394757,5.394803,65.397097,6032,True,,True
afd_mbt65536,1x,formal-1-000179,60.001,60.004295,3.203449,3.203492,63.207787,14372,True,,True
afd_mbt65536,1x,formal-1-000180,60.001,60.004732,5.392572,5.392599,65.397331,2554,True,,True
afd_mbt65536,1x,formal-1-000181,60.001,60.004599,3.203254,3.203288,63.207886,6809,True,,True
afd_mbt65536,1x,formal-1-000182,60.001,60.006104,2.812932,2.812979,62.819083,7910,True,,True
afd_mbt65536,1x,formal-1-000183,60.001,60.003659,1.54958,1.549617,61.553276,1317,True,,True
afd_mbt65536,1x,formal-1-000184,63.001,63.001516,1.065199,1.065239,64.066755,4515,True,,True
afd_mbt65536,1x,formal-1-000185,63.001,63.002618,3.190055,3.1901,66.192718,17240,True,,True
afd_mbt65536,1x,formal-1-000186,63.001,63.002275,2.826188,2.826235,65.82851,4468,True,,True
afd_mbt65536,1x,formal-1-000187,63.001,63.001996,2.661794,2.661833,65.663829,912,True,,True
afd_mbt65536,1x,formal-1-000188,63.001,63.001377,1.739819,1.739864,64.741241,13736,True,,True
afd_mbt65536,1x,formal-1-000189,63.001,63.003229,1.537016,1.537047,64.540277,8376,True,,True
afd_mbt65536,1x,formal-1-000190,63.001,63.003046,3.189794,3.189836,66.192882,6631,True,,True
afd_mbt65536,1x,formal-1-000191,63.001,63.00279,2.825424,2.82546,65.82825,16121,True,,True
afd_mbt65536,1x,formal-1-000192,63.001,63.001104,0.99693,0.996978,63.998082,2042,True,,True
afd_mbt65536,1x,formal-1-000193,63.001,63.004145,2.659505,2.659548,65.663692,5143,True,,True
